2020-11-22T15:55:28.935851> <socket.socket fd=380, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 50100), raddr=('127.0.0.1', 65080)> connected on server 
2020-11-22T15:55:42.769949> <socket.socket fd=392, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 50100), raddr=('127.0.0.1', 65081)> connected on server 
2020-11-22T16:04:35.290831> <socket.socket fd=276, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 50100), raddr=('127.0.0.1', 65108)> connected on server 
2020-11-22T16:05:19.593852> <socket.socket fd=384, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 50100), raddr=('127.0.0.1', 65109)> connected on server 
2020-11-22T16:05:25.842828> <socket.socket fd=396, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 50100), raddr=('127.0.0.1', 65110)> connected on server 
2020-11-22T17:01:14.342779> <socket.socket fd=272, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 50100), raddr=('127.0.0.1', 65404)> connected on server 
2020-11-22T17:01:20.021842> <socket.socket fd=288, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 50100), raddr=('127.0.0.1', 65405)> connected on server 
2020-12-03T03:16:26.076601> <socket.socket fd=296, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 50100), raddr=('127.0.0.1', 59742)> connected on server 
2020-12-03T03:16:39.243345> <socket.socket fd=344, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 50100), raddr=('127.0.0.1', 59744)> connected on server 
2020-12-03T23:44:29.251854> <socket.socket fd=380, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 50100), raddr=('127.0.0.1', 53600)> connected on server 
2020-12-03T23:44:35.482378> <socket.socket fd=276, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 50100), raddr=('127.0.0.1', 53601)> connected on server 
